date,product_id,category,color,price_usd,trend_mentions,trend_growth_pct,inventory_units,sales_units
2024-01-01,P0001,Dress,Butter Yellow,450,770,47,260,260
2024-01-02,P0002,Handbag,Silver,1053,727,48,307,307
2024-01-03,P0003,Jacket,Electric Blue,1656,634,44,354,354
2024-01-04,P0004,Skirt,Chocolate Brown,2259,591,30,401,401
2024-01-05,P0005,Sneakers,Cherry Red,2862,448,25,448,410
2024-01-06,P0006,Dress,Olive Green,865,405,11,495,388
2024-01-07,P0007,Handbag,Butter Yellow,1468,771,55,542,542
2024-01-08,P0008,Jacket,Silver,2071,728,56,589,589
2024-01-09,P0009,Skirt,Electric Blue,2674,635,35,636,560
2024-01-10,P0010,Sneakers,Chocolate Brown,3277,592,38,683,509
2024-01-11,P0011,Dress,Cherry Red,1280,449,16,730,484
2024-01-12,P0012,Handbag,Olive Green,1883,406,19,777,433
2024-01-13,P0013,Jacket,Butter Yellow,2486,772,63,824,725
2024-01-14,P0014,Skirt,Silver,3089,729,47,871,634
2024-01-15,P0015,Sneakers,Electric Blue,3692,636,43,918,601
2024-01-16,P0016,Dress,Chocolate Brown,1695,593,29,965,569
2024-01-17,P0017,Handbag,Cherry Red,1048,450,24,1012,535
2024-01-18,P0018,Jacket,Olive Green,1651,407,10,1059,438
2024-01-19,P0019,Skirt,Butter Yellow,2254,773,54,1106,720
2024-01-20,P0020,Sneakers,Silver,2857,730,55,1153,654
2024-01-21,P0021,Dress,Electric Blue,860,637,34,1200,645
2024-01-22,P0022,Handbag,Chocolate Brown,1463,594,37,1247,644
2024-01-23,P0023,Jacket,Cherry Red,2066,451,15,1294,482
2024-01-24,P0024,Skirt,Olive Green,2669,408,18,291,291
2024-01-25,P0025,Sneakers,Butter Yellow,3272,774,62,338,338
2024-01-26,P0026,Dress,Silver,1275,731,46,385,385
2024-01-27,P0027,Handbag,Electric Blue,1878,638,42,432,432
2024-01-28,P0028,Jacket,Chocolate Brown,2481,595,28,479,479
2024-01-29,P0029,Skirt,Cherry Red,3084,452,23,526,383
2024-01-30,P0030,Sneakers,Olive Green,3687,409,26,573,393
2024-01-31,P0031,Dress,Butter Yellow,1690,775,53,620,620
2024-02-01,P0032,Handbag,Silver,1043,732,54,667,667
2024-02-02,P0033,Jacket,Electric Blue,1646,639,33,714,565
2024-02-03,P0034,Skirt,Chocolate Brown,2249,596,36,761,575
2024-02-04,P0035,Sneakers,Cherry Red,2852,453,14,808,423
2024-02-05,P0036,Dress,Olive Green,855,410,17,855,498
2024-02-06,P0037,Handbag,Butter Yellow,1458,776,61,902,729
2024-02-07,P0038,Jacket,Silver,2061,733,45,949,689
2024-02-08,P0039,Skirt,Electric Blue,2664,640,41,996,589
2024-02-09,P0040,Sneakers,Chocolate Brown,3267,597,27,1043,553
2024-02-10,P0041,Dress,Cherry Red,1270,454,22,1090,491
2024-02-11,P0042,Handbag,Olive Green,1873,411,25,1137,491
2024-02-12,P0043,Jacket,Butter Yellow,2476,777,52,1184,737
2024-02-13,P0044,Skirt,Silver,3079,734,53,1231,672
2024-02-14,P0045,Sneakers,Electric Blue,3682,641,32,1278,597
2024-02-15,P0046,Dress,Chocolate Brown,1685,598,35,275,275
2024-02-16,P0047,Handbag,Cherry Red,1038,455,30,322,322
2024-02-17,P0048,Jacket,Olive Green,1641,412,16,369,353
2024-02-18,P0049,Skirt,Butter Yellow,2244,778,60,416,416
2024-02-19,P0050,Sneakers,Silver,2847,735,44,463,463
2024-02-20,P0051,Dress,Electric Blue,850,642,40,510,510
2024-02-21,P0052,Handbag,Chocolate Brown,1453,599,26,557,503
2024-02-22,P0053,Jacket,Cherry Red,2056,456,21,604,448
2024-02-23,P0054,Skirt,Olive Green,2659,413,24,651,397
2024-02-24,P0055,Sneakers,Butter Yellow,3262,779,51,698,654
2024-02-25,P0056,Dress,Silver,1265,736,52,745,664
2024-02-26,P0057,Handbag,Electric Blue,1868,643,31,792,599
2024-02-27,P0058,Jacket,Chocolate Brown,2471,600,34,839,548
2024-02-28,P0059,Skirt,Cherry Red,3074,457,29,886,493
2024-02-29,P0060,Sneakers,Olive Green,3677,414,15,933,399
2024-03-01,P0061,Dress,Butter Yellow,1680,780,59,980,746
2024-03-02,P0062,Handbag,Silver,1033,737,43,1027,676
2024-03-03,P0063,Jacket,Electric Blue,1636,644,39,1074,637
2024-03-04,P0064,Skirt,Chocolate Brown,2239,601,42,1121,637
2024-03-05,P0065,Sneakers,Cherry Red,2842,458,20,1168,475
2024-03-06,P0066,Dress,Olive Green,845,415,23,1215,539
2024-03-07,P0067,Handbag,Butter Yellow,1448,781,50,1262,725
2024-03-08,P0068,Jacket,Silver,2051,738,51,1309,720
2024-03-09,P0069,Skirt,Electric Blue,2654,645,30,306,306
2024-03-10,P0070,Sneakers,Chocolate Brown,3257,602,33,353,353
2024-03-11,P0071,Dress,Cherry Red,1260,459,28,400,400
2024-03-12,P0072,Handbag,Olive Green,1863,416,14,447,387
2024-03-13,P0073,Jacket,Butter Yellow,2466,782,58,494,494
2024-03-14,P0074,Skirt,Silver,3069,739,42,541,541
2024-03-15,P0075,Sneakers,Electric Blue,3672,646,38,588,498
2024-03-16,P0076,Dress,Chocolate Brown,1675,603,41,635,573
2024-03-17,P0077,Handbag,Cherry Red,1028,460,19,682,453
2024-03-18,P0078,Jacket,Olive Green,1631,417,22,729,463
2024-03-19,P0079,Skirt,Butter Yellow,2234,783,49,776,659
2024-03-20,P0080,Sneakers,Silver,2837,740,50,823,664
2024-03-21,P0081,Dress,Electric Blue,840,647,46,870,640
2024-03-22,P0082,Handbag,Chocolate Brown,1443,604,32,917,610
2024-03-23,P0083,Jacket,Cherry Red,2046,461,27,964,545
2024-03-24,P0084,Skirt,Olive Green,2649,418,13,1011,448
2024-03-25,P0085,Sneakers,Butter Yellow,3252,784,57,1058,730
2024-03-26,P0086,Dress,Silver,1255,741,41,1105,693
2024-03-27,P0087,Handbag,Electric Blue,1858,648,37,1152,654
2024-03-28,P0088,Jacket,Chocolate Brown,2461,605,40,1199,593
2024-03-29,P0089,Skirt,Cherry Red,3064,462,18,1246,492
2024-03-30,P0090,Sneakers,Olive Green,3667,419,21,1293,431
2024-03-31,P0091,Dress,Butter Yellow,1670,785,48,290,290
2024-04-01,P0092,Handbag,Silver,1023,742,49,337,337
2024-04-02,P0093,Jacket,Electric Blue,1626,649,45,384,384
2024-04-03,P0094,Skirt,Chocolate Brown,2229,606,31,431,431
2024-04-04,P0095,Sneakers,Cherry Red,2832,463,26,478,413
2024-04-05,P0096,Dress,Olive Green,835,420,12,525,391
2024-04-06,P0097,Handbag,Butter Yellow,1438,786,56,572,572
2024-04-07,P0098,Jacket,Silver,2041,743,57,619,619
2024-04-08,P0099,Skirt,Electric Blue,2644,650,36,666,564
2024-04-09,P0100,Sneakers,Chocolate Brown,3247,607,39,713,513
2024-04-10,P0101,Dress,Cherry Red,1250,464,17,760,487
2024-04-11,P0102,Handbag,Olive Green,1853,320,20,807,388
2024-04-12,P0103,Jacket,Butter Yellow,2456,787,47,854,693
2024-04-13,P0104,Skirt,Silver,3059,744,48,901,698
2024-04-14,P0105,Sneakers,Electric Blue,3662,651,44,948,598
2024-04-15,P0106,Dress,Chocolate Brown,1665,608,30,995,627
2024-04-16,P0107,Handbag,Cherry Red,1018,465,25,1042,532
2024-04-17,P0108,Jacket,Olive Green,1621,321,11,1089,448
2024-04-18,P0109,Skirt,Butter Yellow,2224,788,55,1136,717
2024-04-19,P0110,Sneakers,Silver,2827,745,56,1183,713
2024-04-20,P0111,Dress,Electric Blue,830,652,35,1230,642
2024-04-21,P0112,Handbag,Chocolate Brown,1433,609,38,1277,641
2024-04-22,P0113,Jacket,Cherry Red,2036,466,16,274,274
2024-04-23,P0114,Skirt,Olive Green,2639,322,19,321,303
2024-04-24,P0115,Sneakers,Butter Yellow,3242,789,63,368,368
2024-04-25,P0116,Dress,Silver,1245,746,47,415,415
2024-04-26,P0117,Handbag,Electric Blue,1848,653,43,462,462
2024-04-27,P0118,Jacket,Chocolate Brown,2451,610,29,509,502
2024-04-28,P0119,Skirt,Cherry Red,3054,467,24,556,387
2024-04-29,P0120,Sneakers,Olive Green,3657,323,10,603,312
2024-04-30,P0121,Dress,Butter Yellow,1660,790,54,650,650
2024-05-01,P0122,Handbag,Silver,1013,747,55,697,694
2024-05-02,P0123,Jacket,Electric Blue,1616,654,34,744,569
2024-05-03,P0124,Skirt,Chocolate Brown,2219,611,37,791,579
2024-05-04,P0125,Sneakers,Cherry Red,2822,468,15,838,488
2024-05-05,P0126,Dress,Olive Green,825,324,18,885,453
2024-05-06,P0127,Handbag,Butter Yellow,1428,791,62,932,787
2024-05-07,P0128,Jacket,Silver,2031,748,46,979,686
2024-05-08,P0129,Skirt,Electric Blue,2634,655,42,1026,647
2024-05-09,P0130,Sneakers,Chocolate Brown,3237,612,28,1073,550
2024-05-10,P0131,Dress,Cherry Red,1240,469,23,1120,549
2024-05-11,P0132,Handbag,Olive Green,1843,325,26,1167,440
2024-05-12,P0133,Jacket,Butter Yellow,2446,792,53,1214,734
2024-05-13,P0134,Skirt,Silver,3049,749,54,1261,669
2024-05-14,P0135,Sneakers,Electric Blue,3652,656,33,1308,594
2024-05-15,P0136,Dress,Chocolate Brown,1655,613,36,305,305
2024-05-16,P0137,Handbag,Cherry Red,1008,470,14,352,352
2024-05-17,P0138,Jacket,Olive Green,1611,326,17,399,308
2024-05-18,P0139,Skirt,Butter Yellow,2214,793,61,446,446
2024-05-19,P0140,Sneakers,Silver,2817,750,45,493,493
2024-05-20,P0141,Dress,Electric Blue,820,657,41,540,540
2024-05-21,P0142,Handbag,Chocolate Brown,1423,614,27,587,507
2024-05-22,P0143,Jacket,Cherry Red,2026,471,22,634,452
2024-05-23,P0144,Skirt,Olive Green,2629,327,25,681,414
2024-05-24,P0145,Sneakers,Butter Yellow,3232,794,52,728,658
2024-05-25,P0146,Dress,Silver,1235,751,53,775,728
2024-05-26,P0147,Handbag,Electric Blue,1838,658,32,822,603
2024-05-27,P0148,Jacket,Chocolate Brown,2441,615,35,869,613
2024-05-28,P0149,Skirt,Cherry Red,3044,472,30,916,493
2024-05-29,P0150,Sneakers,Olive Green,3647,328,16,963,409
2024-05-30,P0151,Dress,Butter Yellow,1650,795,60,1010,743
2024-05-31,P0152,Handbag,Silver,1003,752,44,1057,734
2024-06-01,P0153,Jacket,Electric Blue,1606,659,40,1104,634
2024-06-02,P0154,Skirt,Chocolate Brown,2209,616,26,1151,598
